mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4425356388092041,0.033059553411826155,0.010711431503295898,0.0017086420330989205,3,0.8,1.0,0.03,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.51,0.535,0.53,0.525,0.53,0.526,0.008602325267042634,172
0.4350386619567871,0.02155253868481056,0.010075092315673828,0.00024242942295291852,3,0.8,1.0,0.07,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 1.0, 'min_samples_split': 0.07}",0.535,0.565,0.525,0.525,0.505,0.5309999999999999,0.019595917942265402,116
0.45207982063293456,0.017942333321548057,0.009963178634643554,0.0016570449221469763,3,0.8,1.0,0.1,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 1.0, 'min_samples_split': 0.1}",0.54,0.53,0.53,0.515,0.51,0.525,0.010954451150103331,182
0.42351727485656737,0.016549975526965563,0.009299850463867188,0.0006452252651004377,3,0.9,0.7,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.49,0.54,0.55,0.525,0.5,0.521,0.022891046284519215,216
0.414461612701416,0.0325692678558417,0.00985126495361328,0.0007109742992203608,3,0.9,0.7,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.525,0.57,0.525,0.535,0.525,0.536,0.017435595774162666,54
0.40538530349731444,0.02885995447031614,0.01056499481201172,0.0027573486342855565,3,0.9,0.7,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.07}",0.495,0.535,0.515,0.54,0.495,0.516,0.019078784028338933,246
0.38198304176330566,0.011839617379161546,0.008698272705078124,0.0011417827906837596,3,0.9,0.7,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.1}",0.52,0.52,0.565,0.525,0.505,0.5269999999999999,0.020149441679609862,167
0.4038480281829834,0.010485400505076584,0.00932159423828125,0.001486494619634596,3,0.9,0.8,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.54,0.545,0.55,0.5,0.525,0.5319999999999999,0.018055470085267804,107
0.42746529579162595,0.01310167470912935,0.00876150131225586,0.00046697455839336913,3,0.9,0.8,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.48,0.57,0.555,0.49,0.51,0.5209999999999999,0.035552777669262355,222
0.40032782554626467,0.02108980328190341,0.009079790115356446,0.0010907396834724,3,0.9,0.8,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.07}",0.535,0.545,0.555,0.505,0.53,0.534,0.01685229954635273,80
0.3943760395050049,0.010969782654023102,0.00920724868774414,0.001356914221128945,3,0.9,0.8,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.1}",0.52,0.52,0.535,0.515,0.505,0.519,0.009695359714832666,232
0.4555196285247803,0.027375342594978154,0.009474945068359376,0.0018499540549370872,3,0.9,0.9,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.54,0.555,0.535,0.52,0.535,0.5370000000000001,0.011224972160321834,42
